passes,shots,average_pass_length,ppda,avg_pass_angle_deep,avg_pass_angle_mid,avg_pass_angle_final,xg_per_shot,carries_per_pass,playstyle,team
392.6666666666667,10.666666666666666,21.152317593377123,3.315111780132419,-0.0798534365448043,-0.1612592318798614,1.1252528889854638,0.06823783871875,0.8208828522920203,Vertical,Albania
559.6666666666666,14.666666666666666,20.8985890892962,2.424673248317566,0.0031694348722134,-0.0170887413524259,-1.030759254162421,0.1823159425931818,0.8159618820726624,Possessional Play,Argentina
517.5,12.5,20.44625425568281,2.142054059328649,0.1420690453367483,0.0104562190960366,-0.1619900678704838,0.12231625008,0.8028985507246377,Possessional Play,Austria
551.75,13.25,20.983357594305687,3.320037082509428,-0.1957533319431557,-0.1296688572059056,0.3694448515250447,0.0826061817169811,0.8550067965564114,Vertical,Belgium
408.0,5.666666666666667,21.92107648097405,2.087439321505834,-0.0586138337808966,-0.4258578567678465,-0.4650067935012725,0.0581363399941176,0.772875816993464,Haramball,Bolivia
530.0,13.75,20.57733555007921,2.026312191574564,0.1503149843708642,-0.1691076045304471,-1.1447683283025183,0.1724468065090909,0.8278301886792453,Possessional Play,Brazil
412.0,12.333333333333334,21.194503324798127,2.279355257385266,0.0278858321186579,-0.1124316921431671,-0.3869205321111388,0.2097558407297297,0.7710355987055016,Vertical,Canada
439.0,7.333333333333333,23.24908891753041,2.314058260274312,-0.0750301325203571,-0.0912010114350168,0.1890985764221353,0.07317097325,0.7934700075930143,Vertical,Chile
492.0,13.166666666666666,22.336314646215992,2.2722900379197624,-0.0108568512771052,0.0957939867514101,0.2190086623952441,0.1185795193303797,0.7625338753387534,Vertical,Colombia
300.3333333333333,3.0,24.75627334319114,2.371913228478079,-0.0825495588137862,0.2690046556265583,0.5314359519697073,0.0526758991111111,0.7480577136514982,Haramball,Costa Rica
595.0,14.333333333333334,18.47852848268786,2.180252603433718,0.0672078724854195,0.35036660273924,0.2863511635341433,0.1354403224883721,0.84593837535014,Possessional Play,Croatia
369.0,14.666666666666666,23.8411829307086,2.575063023289911,0.0624541913348851,-0.0515506646310651,-0.8403174927462832,0.1043304920931818,0.7524841915085818,Haramball,Czech Republic
590.25,13.0,19.26914092280805,3.0806734659190385,0.0164323558670364,-0.1057556564030349,-0.148155035920621,0.0744153191923076,0.7941550190597204,Possessional Play,Denmark
330.75,13.5,25.482300118677564,2.253857067047173,0.0739038438927095,-0.2455129612705453,-0.3409567293253348,0.1462141284722222,0.763416477702192,Haramball,Ecuador
648.5714285714286,11.571428571428571,20.664633261716403,3.3261502693172136,0.1206145848274829,0.1152696021579355,-1.2899652723690265,0.1297367579876543,0.8392070484581499,Possessional Play,England
575.5,16.833333333333332,19.274141145612354,3.547792086387492,0.0621196724551408,-0.2109360319903116,0.3466325162074212,0.1199216261594059,0.8375325803649001,Possessional Play,France
356.25,7.5,21.58359407743772,2.572271635890193,0.0871912348349386,-0.0752770203592125,-0.3002478341306103,0.1405686957,0.8196491228070175,Possessional Play,Georgia
680.4,19.0,18.2386587552001,2.4843217707385623,-0.0446219372571188,0.0519253526021485,-0.7275303685494037,0.0918494826042105,0.8662551440329218,Tiki-Taka,Germany
408.6666666666667,10.333333333333334,21.98258052541841,2.502596897351077,-0.0753993609640281,-0.2676184085365269,0.1095531902469452,0.1074803870967741,0.699836867862969,Haramball,Hungary
625.75,11.25,18.631290769913505,3.2147363206229485,0.0439334360108114,0.0129751616964284,2.3354392033461693,0.0734277396222222,0.8361965641230523,Possessional Play,Italy
381.3333333333333,9.333333333333334,24.102249255647266,2.3575863678804856,0.1527528868927411,0.0414186708059451,0.3705047058974697,0.0753032515714285,0.7491258741258742,Haramball,Jamaica
516.3333333333334,19.33333333333333,21.061297935804102,1.9729118113959536,0.0531068599077956,-0.2702847128685383,-0.4687513138383588,0.0768625781034482,0.7579083279535183,Possessional Play,Mexico
519.5,13.833333333333334,19.80807163738984,3.0777778460312,0.0055478472762588,-0.072751312146987,-1.0313120361827577,0.0881745163855421,0.810715431504652,Possessional Play,Netherlands
450.75,12.5,22.810936343214536,2.701787250069693,0.1281834597528506,-0.0069236117007899,-0.179046458666234,0.064443640246,0.8069883527454242,Possessional Play,Panama
427.0,14.333333333333334,21.78609025162012,2.2598264248170463,-0.0618175485217501,-0.3804519986722765,0.3286815368358333,0.0688217497651162,0.8001561280249805,Vertical,Paraguay
326.6666666666667,7.666666666666667,23.956194944743448,2.601064191486468,-0.0027862792478703,0.1054474383330747,0.904848292272349,0.0617537791521739,0.7173469387755101,Haramball,Peru
396.6666666666667,12.333333333333334,19.21135230683721,2.207284669179693,-0.0713600814069683,0.1645003529132562,0.3034486509254717,0.0952739810621621,0.8210084033613445,Vertical,Poland
774.0,19.0,18.915914211294087,2.535421994884911,-0.1004777915260157,0.0525752754685672,0.6348228429798729,0.1548352033442105,0.851421188630491,Tiki-Taka,Portugal
336.75,9.5,23.01769044407714,2.8513778314103067,-0.1201242140765631,0.1000469187016803,-0.0883361341547496,0.0988612502368421,0.7230883444691908,Haramball,Romania
410.6666666666667,5.666666666666667,22.434817326143413,2.713863564257265,0.108758792010513,-0.3628767694398007,0.8369745431781391,0.0597613974705882,0.7337662337662337,Haramball,Scotland
558.6666666666666,8.666666666666666,21.278711453908628,3.046499122658064,-0.0571993373490702,0.0927586126681287,0.3525476042877657,0.0782760948846154,0.7917661097852029,Vertical,Serbia
501.5,12.5,21.71877999662805,3.4713637041375565,-0.0784237256570501,-0.2150189441496533,0.3348337147401096,0.076517796018,0.7642073778664008,Vertical,Slovakia
344.0,10.0,23.40166436866152,2.6060196430900087,0.0223137194209808,-0.1348872573510107,-1.7318483978681962,0.1437377600075,0.7267441860465116,Haramball,Slovenia
619.2857142857143,17.571428571428573,19.92920947051249,2.651001905080581,0.0346108063060176,-0.0098012679683824,0.6732893316157139,0.0859713046682926,0.8583621683967704,Possessional Play,Spain
509.6,12.4,19.699792185600284,2.7757257904819177,0.0417905501561205,-0.0035908140151139,-0.9505732304889708,0.1368350264838709,0.8281004709576137,Possessional Play,Switzerland
489.0,14.4,20.42720118347072,2.7400443482096315,0.0615048575619773,-0.0338758524798714,-1.1923293179046204,0.0897864299819444,0.8237218813905931,Possessional Play,Turkey
497.0,13.333333333333334,21.25729696801961,2.578844637460909,-0.0951218481300466,-0.0246980562080509,-0.7340692088886623,0.07460753187,0.8417169684775319,Vertical,Ukraine
395.0,11.333333333333334,24.98790313741324,2.716665701611321,0.0814366831066662,0.2153643325513105,0.5219538688981589,0.111469391117647,0.6902953586497891,Haramball,United States
406.6666666666667,15.666666666666666,23.116903320148754,1.691582757052531,-0.0946591838860669,-0.0699184477887936,-0.3160095617012694,0.1585771370819149,0.7901639344262295,Vertical,Uruguay
456.0,15.5,22.587498187005345,2.2900095276847696,-0.0880223527534696,-0.0843480666216775,0.8598962273269086,0.1622762550435484,0.7368421052631579,Haramball,Venezuela
